Test,Mean,Deviation,Count
MapReduce Array,3811.875,230.127,131072
MapReduce Array,3636.335,40.848,131072
MapReduce Array,3661.750,43.040,131072
MapReduce Array,3943.603,420.565,65536
MapReduce Array,3701.370,47.298,131072
MapReduce Seq,4873.857,78.192,65536
MapReduce Seq,4858.675,94.379,65536
MapReduce Seq,4852.566,80.279,65536
MapReduce Seq,4822.636,88.193,65536
MapReduce Seq,4864.760,114.624,65536
MapReduce Unions,487.822,3.452,1048576
MapReduce Unions,489.137,10.842,524288
MapReduce Unions,544.872,68.631,524288
MapReduce Unions,500.583,18.614,524288
MapReduce Unions,487.255,5.887,1048576
Sestoft Multiply,62.619,0.515,4194304
Sestoft Multiply,62.968,0.770,4194304
Sestoft Multiply,62.800,0.402,4194304
Sestoft Multiply,62.657,0.531,4194304
Sestoft Multiply,62.431,0.556,4194304
Primes,20324.990,569.503,16384
Primes,20081.245,354.162,16384
Primes,22216.256,2753.199,16384
Primes,20130.051,288.940,16384
Primes,20141.995,504.021,16384
RandomizeArray,7097.305,99.746,65536
RandomizeArray,7060.705,113.015,65536
RandomizeArray,7036.956,34.983,65536
RandomizeArray,7109.857,83.250,65536
RandomizeArray,7469.491,542.426,65536
GameOfLife,316419.844,5798.590,1024
GameOfLife,318766.172,3818.383,1024
GameOfLife,318571.289,5135.903,1024
GameOfLife,317786.406,4383.526,1024
GameOfLife,319738.320,5144.060,1024
InvasionPercolation,75396.167,1550.079,4096
InvasionPercolation,76275.967,1265.009,4096
InvasionPercolation,76517.568,1235.348,4096
InvasionPercolation,76128.608,1392.821,4096
InvasionPercolation,75628.057,1426.160,4096
FibonacciRecursive,739.018,11.388,524288
FibonacciRecursive,737.380,10.007,524288
FibonacciRecursive,740.196,9.623,524288
FibonacciRecursive,745.104,10.814,524288
FibonacciRecursive,735.433,14.049,524288
FibonacciIterative,564.586,4.470,524288
FibonacciIterative,564.356,4.618,524288
FibonacciIterative,560.857,1.625,524288
FibonacciIterative,562.177,4.922,524288
FibonacciIterative,566.452,4.389,524288
ScaleVector2D,111.826,0.778,4194304
ScaleVector2D,111.305,0.460,4194304
ScaleVector2D,111.234,0.319,4194304
ScaleVector2D,111.297,0.499,4194304
ScaleVector2D,111.189,0.366,4194304
ScaleVector3D,108.895,0.236,4194304
ScaleVector3D,110.224,0.931,4194304
ScaleVector3D,109.808,1.111,4194304
ScaleVector3D,109.704,0.860,4194304
ScaleVector3D,109.576,0.358,4194304
MultiplyVector2D,97.394,0.107,4194304
MultiplyVector2D,98.791,1.127,4194304
MultiplyVector2D,97.986,1.251,4194304
MultiplyVector2D,97.740,0.413,4194304
MultiplyVector2D,97.963,0.729,4194304
MultiplyVector3D,104.129,0.732,4194304
MultiplyVector3D,103.338,0.640,4194304
MultiplyVector3D,103.582,0.501,4194304
MultiplyVector3D,103.478,0.581,4194304
MultiplyVector3D,103.808,0.859,4194304
TranslateVector2D,100.363,0.904,4194304
TranslateVector2D,100.783,0.570,4194304
TranslateVector2D,99.571,0.226,4194304
TranslateVector2D,100.233,1.102,4194304
TranslateVector2D,99.558,0.352,4194304
TranslateVector3D,114.369,2.945,4194304
TranslateVector3D,112.517,0.608,4194304
TranslateVector3D,112.802,0.431,4194304
TranslateVector3D,117.855,10.400,4194304
TranslateVector3D,112.321,0.459,4194304
SubtractVector2D,122.721,0.953,2097152
SubtractVector2D,122.859,0.797,2097152
SubtractVector2D,121.797,0.545,2097152
SubtractVector2D,122.205,0.256,2097152
SubtractVector2D,129.787,11.112,2097152
SubtractVector3D,122.355,0.433,2097152
SubtractVector3D,122.778,0.508,2097152
SubtractVector3D,122.927,0.755,2097152
SubtractVector3D,123.242,1.286,2097152
SubtractVector3D,123.430,1.388,2097152
LengthVector2D,69.150,0.543,4194304
LengthVector2D,71.580,6.221,4194304
LengthVector2D,68.340,0.201,4194304
LengthVector2D,68.625,0.556,4194304
LengthVector2D,69.387,2.389,4194304
LengthVector3D,73.342,7.487,4194304
LengthVector3D,69.864,0.258,4194304
LengthVector3D,70.332,0.322,4194304
LengthVector3D,70.442,0.585,4194304
LengthVector3D,70.137,0.561,4194304
DotProductVector2D,71.038,0.163,4194304
DotProductVector2D,71.525,0.530,4194304
DotProductVector2D,71.105,0.426,4194304
DotProductVector2D,71.035,0.325,4194304
DotProductVector2D,70.921,0.129,4194304
DotProductVector3D,77.357,0.589,4194304
DotProductVector3D,77.474,0.569,4194304
DotProductVector3D,77.761,0.541,4194304
DotProductVector3D,77.526,0.525,4194304
DotProductVector3D,77.435,0.464,4194304